ResponseId;Q120;MainBranch;Age;Employment;RemotoWork;CodingActivities;EdLevel;LearnCode.1;LearnCode.2;LearnCode.3;LearnCode.4;LearnCode.5;LearnCode.6;LearnCode.7;LearnCode.8;LearnCodeOnline;LearnCodeCoursesCert;YearsCode;YearsCodePro;DevType;OrgSize;PurchaseInfluence;TechList;BuyNewTool;Country;Currency;CompTotal;LanguageHaveWorkedWith;LanguageWantToWorkWith.1;LanguageWantToWorkWith.2;LanguageWantToWorkWith.3;LanguageWantToWorkWith.4;LanguageWantToWorkWith.5;LanguageWantToWorkWith.6;LanguageWantToWorkWith.7;LanguageWantToWorkWith.8;LanguageWantToWorkWith.9;LanguageWantToWorkWith.10;LanguageWantToWorkWith.11;LanguageWantToWorkWith.12;LanguageWantToWorkWith.13;DatabaseHaveWorkedWith;DatabaseWantToWorkWith;PlatformHaveWorkedWith;PlatformWantToWorkWith;WebframeHaveWorkedWith;WebframeWantToWorkWith;MiscTechHaveWorkedWith;MiscTechWantToWorkWith;ToolsTechHaveWorkedWith;ToolsTechWantToWorkWith;NEWCollabToolsHaveWorkedWith;NEWCollabToolsWantToWorkWith;OpSysPersonal use;OpSysProfessional use;OfficeStackAsyncHaveWorkedWith;OfficeStackAsyncWantToWorkWith;OfficeStackSyncHaveWorkedWith;OfficeStackSyncWantToWorkWith;AISearchHaveWorkedWith;AISearchWantToWorkWith;AIDevHaveWorkedWith;AIDevWantToWorkWith;NEWSOSites;SOVisitFreq;SOAccount;SOPartFreq;SOComm;SOAI;AISelect;AISent;AIAcc;AIBen;AIToolInterested in Using;AIToolCurrently Using;AIToolNot interested in Using;AINextVery different;AINextNeither different nor similar;AINextSomewhat similar;AINextVery similar;AINextSomewhat different;TBranch;ICorPM;WorkExp;Knowledge_1;Knowledge_2;Knowledge_3;Knowledge_4;Knowledge_5;Knowledge_6;Knowledge_7;Knowledge_8;Frequency_1;Frequency_2;Frequency_3;TimeSearching;TimeAnswering;ProfessionalTech;Industry;SurveyLength;SurveyEase;ConvertedCompYearly
25606;I agree;I am a developer by profession;25-34 years old;Employed, full-time;Remoto;"Hobby;Contribute to open-source projects;Freelance/contract work";Master’s degree (M.A., M.S., M.Eng., MBA, etc.);Books / Physical media;Colleague;Friend or family member;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);;"Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;How-to videos;Online challenges (e.g., daily or weekly coding challenges);Click to write Choice 20;Stack Overflow;Interactive tutorial";"Codecademy;Udemy;Pluralsight";14;11;Developer, desktop or enterprise applications;10,000 or more employees;I have some influence;Investigate;"Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd";Brazil;"BRL	Brazilian real";140000;"Bash/Shell (all shells);C#;C++;PowerShell;SQL;Visual Basic (.Net)";C#;C++;Rust;SQL;Visual Basic (.Net);;;;;;;;;"Microsoft SQL Server;MySQL";"Microsoft SQL Server;MySQL;SQLite";"Amazon Web Services (AWS);Microsoft Azure;Oracle Cloud Infrastructure (OCI);VMware";"Microsoft Azure;Oracle Cloud Infrastructure (OCI);VMware";"Angular;AngularJS;ASP.NET;ASP.NET CORE;Node.js;React";"Angular;AngularJS;ASP.NET;ASP.NET CORE;Laravel;Node.js;React";".NET (5+) ;.NET Framework (1.0 - 4.8);MFC";".NET (5+) ;.NET Framework (1.0 - 4.8);MFC;Qt";"CMake;Docker;Google Test;Make;MSBuild;MSVC;npm;NuGet;Unreal Engine;Visual Studio Solution";"Boost.Test;CMake;cppunit;Docker;GNU GCC;Google Test;Kubernetes;LLVM's Clang;Make;MSBuild;MSVC;npm;NuGet;Pip;QMake;Terraform;Unreal Engine;Visual Studio Solution;Yarn";"Notepad++;Sublime Text;Vim;Visual Studio;Visual Studio Code";"Notepad++;Qt Creator;Sublime Text;Vim;Visual Studio;Visual Studio Code";"Android;Ubuntu;Windows;Windows Subsystem for Linux (WSL)";"Android;Arch;BSD;Debian;Fedora;Windows;Windows Subsystem for Linux (WSL)";"Azure Devops;Confluence;GitHub Discussions;Jira;Microsoft Planner;Stack Overflow for Teams";"Azure Devops;Confluence;GitHub Discussions;Jira;Microsoft Planner;Stack Overflow for Teams";"Discord;Microsoft Teams;Whatsapp";"Discord;Microsoft Teams;Whatsapp";"Bing AI;ChatGPT";"Bing AI;ChatGPT";NA;NA;"Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Collectives on Stack Overflow";A few times per week;Yes;Less than once per month or monthly;No, not really;Yes, using IA to find the best answers or creating better questions will improve my experience.;No, but I plan to soon;Favorable;NA;Neither trust nor distrust;NA;NA;NA;NA;NA;NA;NA;NA;Yes;Individual contributor;14;Strongly agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Agree;Agree;Agree;Strongly agree;1-2 times a week;6-10 times a week;1-2 times a week;30-60 minutes a day;60-120 minutes a day;"DevOps function;Automated testing;Innersource initiative;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery";Healthcare;Appropriate in length;Easy;28403
25632;I agree;I am a developer by profession;25-34 years old;"Employed, full-time;Independent contractor, freelancer, or self-employed";Remoto;"Hobby;Bootstrapping a business;Professional development or self-paced learning from online courses";Bachelor’s degree (B.A., B.S., B.Eng., etc.);Books / Physical media;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);;;;"Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Stack Overflow;Interactive tutorial";"Codecademy;edX;Udemy;Coursera;Udacity";17;8;Developer, full-stack;2 to 9 employees;I have some influence;Investigate;Start a free trial;Brazil;"BRL	Brazilian real";515000;"JavaScript;TypeScript";Elixir;Go;JavaScript;Python;Rust;Scala;TypeScript;;;;;;;"BigQuery;Cloud Firestore;PostgreSQL;Redis";"Cloud Firestore;Elasticsearch;Firebase Realtime Database;MongoDB;MySQL;PostgreSQL;Redis";"Amazon Web Services (AWS);Firebase;Google Cloud";"Amazon Web Services (AWS);Firebase;Google Cloud";"Django;Express;NestJS;Node.js;React";"Express;FastAPI;NestJS;Node.js;React";NA;NA;"Docker;npm;Webpack;Yarn";"Docker;Kubernetes;npm;Puppet;Terraform;Vite;Webpack;Yarn";"Visual Studio Code;WebStorm";"Goland;PyCharm;Visual Studio Code;WebStorm";MacOS;MacOS;"Confluence;Jira;Miro;Monday.com";"Confluence;Jira;Miro;Monday.com;Redocly";"Google Meet;Slack;Telegram;Whatsapp;Zoom";"Discord;Google Meet;Slack;Telegram;Whatsapp";NA;NA;NA;NA;"Stack Overflow;Stack Exchange";A few times per month or weekly;Yes;Less than once per month or monthly;Neutral;List related questions, help with message formatting(ex: format code blocks) and suggest questions to be replied to help users to identify the problem.;Yes;Very favorable;"Increase productivity;Greater efficiency;Speed up learning";Neither trust nor distrust;"Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code";;"Learning about a codebase;Project planning;Deployment and monitoring;Collaborating with teammates ";NA;NA;NA;NA;NA;Yes;Individual contributor;9;Neither agree nor disagree;Disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Disagree;Neither agree nor disagree;Never;Never;Never;Less than 15 minutes a day;Less than 15 minutes a day;"Microservices;Observability tools;Continuous integration (CI) and (more often) continuous delivery";Financial Services;Appropriate in length;Easy;104481
25744;I agree;I am not primarily a developer, but I write code sometimes as part of my work/studies;65 years or older;Retired;NA;NA;Professional degree (JD, MD, Ph.D, Ed.D, etc.);Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Other (please specify):;;;;"Formal documentation provided by the owner of the tech;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Auditory material (e.g., podcasts);Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial;Programming Games;Other (Please specify):";"Codecademy;Udemy;Pluralsight;Coursera";40;20;NA;I don’t know;I have little or no influence;NA;"Ask developers I know/work with;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd;Research companies that have emailed me";Brazil;"BRL	Brazilian real";NA;"C#;HTML/CSS;JavaScript;Lisp;Prolog;Python";NA;;;;;;;;;;;;;"Microsoft SQL Server;MySQL";NA;Google Cloud;NA;NA;NA;"Keras;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch";NA;Unity 3D;NA;"IPython;Jupyter Notebook/JupyterLab;Spyder;Sublime Text;Visual Studio Code";NA;"Debian;iOS;iPadOS;MacOS;Windows";;GitHub Discussions;NA;"Google Chat;Google Meet";NA;"Bing AI;ChatGPT";Google Bard AI;GitHub Copilot;NA;Stack Overflow;Less than once per month or monthly;Yes;I have never participated in Q&A on Stack Overflow;No, not at all;I’ve been using chatGPT 3.5 to help me coding my Python programs on NLP and it has been quite precise to the tasks I had difficulty with. I strongly recommend Stack Overflow to study possibilities of using AI technology to improve users experience and to provide its users with reliable and accurate “solutions” to their queries.;Yes;Very favorable;"Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding";Somewhat distrust;;"Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code";;"Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code";;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Appropriate in length;Easy;NA
25774;I agree;I am a developer by profession;25-34 years old;Employed, full-time;Remoto;Hobby;Some college/university study without earning a degree;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);;;;;"How-to videos;Video-based Online Courses;Written-based Online Courses;Stack Overflow;Certification videos";"Other;Udemy";12;4;Developer, mobile;10,000 or more employees;I have some influence;Investigate;"Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd";Brazil;"BRL	Brazilian real";18000;"Java;Kotlin";Java;Kotlin;Swift;;;;;;;;;;;SQLite;SQLite;Firebase;Firebase;NA;NA;NA;NA;Gradle;Gradle;Android Studio;"Android Studio;Xcode";Windows;Windows;"Jira;Miro;Trello";"Jira;Miro;Trello";"Discord;Google Meet;Microsoft Teams;Slack";"Discord;Google Meet;Microsoft Teams;Slack";NA;NA;NA;NA;Stack Overflow;A few times per month or weekly;Yes;I have never participated in Q&A on Stack Overflow;Neutral;Ask specific questions for the AI to answer;No, but I plan to soon;Favorable;NA;Somewhat distrust;NA;NA;NA;NA;NA;NA;NA;NA;Yes;Individual contributor;5;Disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Disagree;Strongly disagree;Disagree;Never;1-2 times a week;6-10 times a week;30-60 minutes a day;Less than 15 minutes a day;"DevOps function;Microservices;Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery";Financial Services;Appropriate in length;Neither easy nor difficult;3652
25788;I agree;I am a developer by profession;25-34 years old;Employed, full-time;Remoto;"Hobby;Professional development or self-paced learning from online courses;Freelance/contract work";Master’s degree (M.A., M.S., M.Eng., MBA, etc.);Books / Physical media;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);;;;;"Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Video-based Online Courses;Written Tutorials;Stack Overflow";"Other;Udemy";4;3;Developer, full-stack;10,000 or more employees;I have a great deal of influence;Investigate;"Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd";Brazil;"BRL	Brazilian real";120000;"C;C#;C++;Haskell;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript";C#;HTML/CSS;JavaScript;SQL;TypeScript;;;;;;;;;"InfluxDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;Redis;SQLite";"InfluxDB;Microsoft SQL Server;MySQL;Redis;SQLite";"Amazon Web Services (AWS);Microsoft Azure";"Amazon Web Services (AWS);Microsoft Azure";"Angular;ASP.NET CORE;Blazor;jQuery;Laravel;Next.js;Node.js;React;WordPress";"ASP.NET CORE;Next.js;Node.js;React";".NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ;React Native;Xamarin";".NET (5+) ;Flutter;RabbitMQ";"Docker;MSBuild;NuGet;Visual Studio Solution;Webpack;Yarn";"Docker;MSBuild;NuGet;Visual Studio Solution;Webpack;Yarn";"Android Studio;Netbeans;Notepad++;Visual Studio;Visual Studio Code";"Notepad++;Visual Studio;Visual Studio Code";"Android;Debian;Windows;Windows Subsystem for Linux (WSL)";"Windows;Windows Subsystem for Linux (WSL)";"Azure Devops;Confluence;Jira";"Azure Devops;Jira;Notion";"Google Meet;Microsoft Teams;Whatsapp";"Google Meet;Microsoft Teams;Whatsapp";"ChatGPT;WolframAlpha";ChatGPT;GitHub Copilot;"AWS CodeWhisperer;GitHub Copilot";"Stack Overflow;Stack Exchange";Daily or almost daily;Yes;A few times per month or weekly;Yes, somewhat;I think stack overflow could greatly benefit from AI, even though most people are using ChatGPT nowadays, myself included, We came across the same question multiple times, and not all answers are correct, so it would require some filtering, which could be done by the community.;Yes;Very favorable;"Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding";Somewhat trust;"Deployment and monitoring;Collaborating with teammates ";"Learning about a codebase;Project planning;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code";;"Learning about a codebase;Project planning;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code";;;;;Yes;Individual contributor;10;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Never;3-5 times a week;10+ times a week;30-60 minutes a day;30-60 minutes a day;"DevOps function;Automated testing";Information Services, IT, Software Development, or other Technology;Too short;Easy;24345
25822;I agree;I am a developer by profession;25-34 years old;Employed, full-time;Remoto;"Hobby;Professional development or self-paced learning from online courses;Freelance/contract work;School or academic work";Bachelor’s degree (B.A., B.S., B.Eng., etc.);Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);;;;;"Formal documentation provided by the owner of the tech;Books;How-to videos;Video-based Online Courses;Written Tutorials;Stack Overflow";NA;11;8;Developer, back-end;10,000 or more employees;I have little or no influence;NA;"Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow";Brazil;"BRL	Brazilian real";320000;"Bash/Shell (all shells);C++;Go;Python;SQL";NA;;;;;;;;;;;;;"Cassandra;MariaDB;MySQL;PostgreSQL;Redis";Couch DB;"Amazon Web Services (AWS);Digital Ocean";NA;"Django;FastAPI;Flask";NA;"Apache Kafka;Apache Spark;Keras;NumPy;Pandas;RabbitMQ;Scikit-Learn;TensorFlow;Torch/PyTorch";"Apache Spark;Hadoop;Keras;NumPy;Pandas;RabbitMQ;Scikit-Learn;TensorFlow;Torch/PyTorch";"Ansible;CMake;Docker;Kubernetes;Make;Pip;Terraform";"Ansible;CMake;Docker;Kubernetes;Make;Pip;Terraform;Unreal Engine";"Goland;IPython;Jupyter Notebook/JupyterLab;PyCharm;Sublime Text;Vim;Visual Studio Code";"IPython;Jupyter Notebook/JupyterLab;PyCharm;Sublime Text;Vim;Visual Studio Code";Ubuntu;"Android;iOS;iPadOS";"Confluence;Jira;Miro;Notion;Shortcut";Jira;"Slack;Zoom";"Slack;Zoom";ChatGPT;NA;NA;NA;"Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Collectives on Stack Overflow";A few times per month or weekly;Yes;Less than once per month or monthly;No, not really;NA;No, and I don't plan to;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Too short;Easy;64920
25890;I agree;I am not primarily a developer, but I write code sometimes as part of my work/studies;35-44 years old;Employed, full-time;Híbrido (alguns remotos, outros presenciais);School or academic work;Master’s degree (M.A., M.S., M.Eng., MBA, etc.);Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);;;;;;;"Books;Video-based Online Courses;Click to write Choice 20;Stack Overflow";Coursera;10;10;Data or business analyst;5,000 to 9,999 employees;I have some influence;Investigate;"Start a free trial;Ask developers I know/work with";Brazil;"BRL	Brazilian real";233961;"R;VBA";R;VBA;;;;;;;;;;;;Oracle;Oracle;Microsoft Azure;NA;NA;NA;NA;NA;NA;NA;RStudio;RStudio;Windows;Windows;NA;NA;NA;NA;ChatGPT;ChatGPT;NA;NA;"Stack Overflow;Stack Exchange";A few times per month or weekly;Yes;Less than once per month or monthly;Neutral;I think it is positive.;Yes;Favorable;"Increase productivity;Greater efficiency";Neither trust nor distrust;"Learning about a codebase;Writing code;Debugging and getting help";"Writing code;Debugging and getting help";"Project planning;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ";;Writing code;;;Debugging and getting help;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Appropriate in length;Easy;47465
25907;I agree;I am not primarily a developer, but I write code sometimes as part of my work/studies;25-34 years old;Employed, full-time;Presencial;"Hobby;Professional development or self-paced learning from online courses;School or academic work";Bachelor’s degree (B.A., B.S., B.Eng., etc.);Colleague;Hackathons (virtual or Presencial);Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);;;"Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Stack Overflow";"Codecademy;Udemy";8;6;Project manager;1,000 to 4,999 employees;I have some influence;Investigate;"Start a free trial;Ask developers I know/work with;Research companies that have advertised on sites I visit;Ask a generative AI tool;Research companies that have emailed me";Brazil;"BRL	Brazilian real";81000;"C++;Dart;HTML/CSS;Java;JavaScript;SQL;TypeScript";HTML/CSS;JavaScript;Python;R;SQL;TypeScript;;;;;;;;"Microsoft SQL Server;MongoDB;MySQL;PostgreSQL";"Elasticsearch;MongoDB;PostgreSQL";NA;NA;"NestJS;React;Spring Boot";Node.js;NA;NA;"Composer;Yarn";NA;"IntelliJ IDEA;Notepad++;Sublime Text;Visual Studio Code";"IntelliJ IDEA;Notepad++;Sublime Text;Visual Studio Code";Windows;Windows;"Confluence;Jira;Redmine";"Confluence;Jira;Notion;Trello";"Discord;Google Meet;Microsoft Teams;Telegram;Whatsapp;Zoom";"Discord;Google Meet;Microsoft Teams;Telegram;Whatsapp;Zoom";ChatGPT;ChatGPT;NA;NA;Stack Overflow;A few times per month or weekly;Yes;Less than once per month or monthly;No, not really;I think its normal.;Yes;Favorable;"Increase productivity;Speed up learning;Improve accuracy in coding;Improve collaboration";Neither trust nor distrust;"Learning about a codebase;Writing code;Collaborating with teammates ";"Project planning;Testing code;Deployment and monitoring";"Documenting code;Debugging and getting help;Committing and reviewing code";"Project planning;Deployment and monitoring";;;;Testing code;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Too long;Easy;16433
25918;I agree;I am a developer by profession;25-34 years old;Independent contractor, freelancer, or self-employed;Remoto;Freelance/contract work;Associate degree (A.A., A.S., etc.);On the job training;;;;;;;;NA;NA;3;3;Developer, embedded applications or devices;Just me - I am a freelancer, sole proprietor, etc.;I have some influence;Investigate;Visit developer communities like Stack Overflow;Brazil;"BRL	Brazilian real";10000;"C#;C++;Delphi;HTML/CSS;Java;JavaScript;Kotlin;PHP";NA;;;;;;;;;;;;;"MariaDB;Microsoft Access;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite";NA;"Microsoft Azure;OpenStack";NA;"Angular;AngularJS;ASP.NET;ASP.NET CORE;CodeIgniter;jQuery;Laravel;Node.js;React;Ruby on Rails;Spring Boot;Symfony;Vue.js;WordPress";NA;".NET (5+) ;.NET Framework (1.0 - 4.8);Apache Spark;Flutter;GTK;Ionic;OpenGL;React Native;Spring Framework";NA;"Composer;Docker;Kubernetes";NA;"Android Studio;Atom;Code::Blocks;Notepad++;Rad Studio (Delphi, C++ Builder);RubyMine;Sublime Text;Visual Studio;Xcode";NA;Windows;;"Adobe Workfront;Azure Devops;Stack Overflow for Teams";NA;"Google Chat;Microsoft Teams;Telegram;Whatsapp";NA;ChatGPT;NA;"AWS CodeWhisperer;Synk Code";NA;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Less than once per month or monthly;Yes;I have never participated in Q&A on Stack Overflow;Yes, somewhat;using stackoverflow helps me a lot in the performance of my daily work, it helps a lot at work;No, but I plan to soon;Indifferent;NA;Somewhat distrust;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Too short;Easy;2029
26013;I agree;I am not primarily a developer, but I write code sometimes as part of my work/studies;35-44 years old;Employed, full-time;Remoto;"Hobby;Bootstrapping a business;Professional development or self-paced learning from online courses";Bachelor’s degree (B.A., B.S., B.Eng., etc.);Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);;;;;"Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Stack Overflow;Certification videos";"Udemy;Pluralsight;Coursera";24;22;Research & Development role;10,000 or more employees;I have some influence;Investigate;"Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd;Ask a generative AI tool";Brazil;"BRL	Brazilian real";215000;"C#;Go;HTML/CSS;JavaScript;TypeScript";Rust;;;;;;;;;;;;;"Firebase Realtime Database;Microsoft SQL Server;Oracle;PostgreSQL;Redis";MongoDB;"Google Cloud;OpenShift";Firebase;"Angular;AngularJS;Node.js";Blazor;"Apache Kafka;Capacitor;Cordova;Ionic;RabbitMQ";NA;Kubernetes;NA;Visual Studio Code;Visual Studio Code;Windows;Windows;"Confluence;Jira;Miro";NA;"Google Chat;Google Meet;Microsoft Teams;Telegram;Whatsapp;Zoom";"Google Chat;Google Meet;Whatsapp";"ChatGPT;Phind";"ChatGPT;Google Bard AI";NA;NA;"Stack Overflow;Stack Exchange";A few times per month or weekly;Yes;Less than once per month or monthly;Yes, somewhat;Helping to find best solutions;Yes;Very favorable;"Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding";Somewhat trust;"Project planning;Documenting code;Deployment and monitoring;Collaborating with teammates ";"Learning about a codebase;Writing code;Debugging and getting help;Testing code;Committing and reviewing code";;;;;;"Learning about a codebase;Writing code;Debugging and getting help;Testing code;Committing and reviewing code";Yes;Individual contributor;22;Agree;Strongly agree;Agree;Agree;Strongly agree;Agree;Neither agree nor disagree;Agree;10+ times a week;6-10 times a week;1-2 times a week;30-60 minutes a day;15-30 minutes a day;"DevOps function;Microservices;Observability tools;Developer portal or other central places to find tools/services";Financial Services;Appropriate in length;Easy;43618
26037;I agree;I am a developer by profession;25-34 years old;Employed, part-time;Presencial;"Hobby;Professional development or self-paced learning from online courses;School or academic work";Some college/university study without earning a degree;Colleague;Friend or family member;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);;;;"Formal documentation provided by the owner of the tech;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial;Certification videos";"Codecademy;Udemy;Coursera";1;Less than 1 year;Developer, back-end;100 to 499 employees;I have some influence;Given a list;"Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd";Brazil;"BRL	Brazilian real";13000;"Assembly;Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;SAS;SQL;TypeScript;Visual Basic (.Net)";Assembly;Bash/Shell (all shells);Cobol;F#;Go;HTML/CSS;JavaScript;Kotlin;PHP;PowerShell;Python;Ruby;Rust;"Dynamodb;Elasticsearch;MariaDB;MongoDB;MySQL;Oracle;PostgreSQL";"Dynamodb;Elasticsearch;MariaDB;MongoDB;MySQL;Oracle;PostgreSQL";"Amazon Web Services (AWS);Google Cloud;Microsoft Azure";"Amazon Web Services (AWS);Firebase;Google Cloud;Microsoft Azure;Oracle Cloud Infrastructure (OCI);Vultr";"Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery;Next.js;Node.js;React";"Angular;AngularJS;Django;Express;jQuery;Laravel;Next.js;Node.js;React;Ruby on Rails;Symfony;Vue.js;WordPress";".NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;JAX;OpenGL;React Native";".NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Flutter;Hugging Face Transformers;JAX;OpenGL;React Native";"APT;Chocolatey;Composer;Docker;Homebrew;Kubernetes;npm;Puppet;Yarn";"APT;Composer;Docker;Homebrew;Kubernetes;npm;pnpm;Puppet;Terraform;Unity 3D;Unreal Engine;Visual Studio Solution;Yarn";"PhpStorm;Visual Studio Code";"PhpStorm;Visual Studio Code";"Windows;Windows Subsystem for Linux (WSL)";"Ubuntu;Windows Subsystem for Linux (WSL)";"Jira;Trello";"Clickup;Jira;Stack Overflow for Teams;Trello";"Google Meet;Microsoft Teams;Slack;Telegram;Whatsapp;Zoom";"Discord;Google Meet;Slack;Whatsapp";"Bing AI;ChatGPT";"ChatGPT;Google Bard AI";"AWS CodeWhisperer;GitHub Copilot;Tabnine";"AWS CodeWhisperer;GitHub Copilot";"Stack Overflow;Stack Exchange";A few times per week;Yes;I have never participated in Q&A on Stack Overflow;Yes, somewhat;Stack Overflow could use AI to direct students or people searching for a snippet, or a pre existing answer to their trouble, as well suggest ways to phrase a question to better understanding of the participants. AI could set a standard way to interact, correcting misspellings, keeping objective and thus efficient;Yes;Very favorable;"Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding";Somewhat trust;"Writing code;Testing code;Committing and reviewing code;Deployment and monitoring";"Learning about a codebase;Project planning;Debugging and getting help;Collaborating with teammates ";Documenting code;"Project planning;Debugging and getting help";;;;"Learning about a codebase;Collaborating with teammates ";No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Appropriate in length;Easy;2637
26043;I agree;I am a developer by profession;25-34 years old;Employed, full-time;Presencial;Hobby;Bachelor’s degree (B.A., B.S., B.Eng., etc.); videos, blogs, forum;;;;;;;;Click to write Choice 20;NA;16;5;Developer, full-stack;2 to 9 employees;I have some influence;Investigate;Other (please specify):;Brazil;"BRL	Brazilian real";46000;"HTML/CSS;JavaScript;Python;SQL";HTML/CSS;JavaScript;Python;;;;;;;;;;;PostgreSQL;NA;"Amazon Web Services (AWS);Google Cloud";Google Cloud;NA;NA;".NET (5+) ;TensorFlow";NA;NA;NA;"Sublime Text;Visual Studio Code";Visual Studio Code;Windows;"Ubuntu;Windows";"Confluence;Jira;Wikis";NA;"Google Meet;Slack;Zoom";"Google Meet;Slack";NA;NA;NA;NA;"Stack Overflow;Stack Exchange";A few times per week;Yes;Less than once per month or monthly;No, not really;No idea;No, and I don't plan to;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Yes;Individual contributor;5;Neither agree nor disagree;Neither agree nor disagree;Disagree;Disagree;Neither agree nor disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;1-2 times a week;1-2 times a week;1-2 times a week;15-30 minutes a day;30-60 minutes a day;None of these;Financial Services;Appropriate in length;Neither easy nor difficult;9332
